2019-Nov-03 15:03:22.941624 INFO [daemon] fedoragold v1.1.5.1()
2019-Nov-03 15:03:22.941707 INFO [daemon] Module folder: ./fedoragold_daemon
2019-Nov-03 15:03:22.942233 INFO [daemon] Initializing p2p server...
2019-Nov-03 15:03:23.840815 INFO [node_server] Binding on 0.0.0.0:30158
2019-Nov-03 15:03:23.840899 INFO [node_server] Net service binded on 0.0.0.0:30158
2019-Nov-03 15:03:23.840921 INFO [node_server] Attempting to add IGD port mapping.
2019-Nov-03 15:03:27.851616 INFO [node_server] No IGD was found.
2019-Nov-03 15:03:39.693707 INFO [Blockchain] Height 124000 of 1308374
2019-Nov-03 15:03:39.802966 INFO [Blockchain] Height 125000 of 1308374
2019-Nov-03 15:03:39.915482 INFO [Blockchain] Height 126000 of 1308374
2019-Nov-03 15:03:40.020933 INFO [Blockchain] Height 127000 of 1308374
2019-Nov-03 15:03:40.144678 INFO [Blockchain] Height 128000 of 1308374
2019-Nov-03 15:03:40.249648 INFO [Blockchain] Height 129000 of 1308374
2019-Nov-03 15:03:40.354612 INFO [Blockchain] Height 130000 of 1308374
2019-Nov-03 15:03:40.465603 INFO [Blockchain] Height 131000 of 1308374
2019-Nov-03 15:03:40.577155 INFO [Blockchain] Height 132000 of 1308374
2019-Nov-03 15:03:40.691879 INFO [Blockchain] Height 133000 of 1308374
2019-Nov-03 15:03:40.809619 INFO [Blockchain] Height 134000 of 1308374
2019-Nov-03 15:03:40.924173 INFO [Blockchain] Height 135000 of 1308374
2019-Nov-03 15:03:41.027397 INFO [Blockchain] Height 136000 of 1308374
2019-Nov-03 15:03:41.150080 INFO [Blockchain] Height 137000 of 1308374
2019-Nov-03 15:03:41.265006 INFO [Blockchain] Height 138000 of 1308374
2019-Nov-03 15:03:41.389074 INFO [Blockchain] Height 139000 of 1308374
2019-Nov-03 15:03:41.702621 INFO [Blockchain] Height 140000 of 1308374
2019-Nov-03 15:03:41.806480 INFO [Blockchain] Height 141000 of 1308374
2019-Nov-03 15:03:41.903440 INFO [Blockchain] Height 142000 of 1308374
2019-Nov-03 15:03:42.009358 INFO [Blockchain] Height 143000 of 1308374
2019-Nov-03 15:03:42.118972 INFO [Blockchain] Height 144000 of 1308374
2019-Nov-03 15:03:42.241491 INFO [Blockchain] Height 145000 of 1308374
2019-Nov-03 15:03:42.347205 INFO [Blockchain] Height 146000 of 1308374
2019-Nov-03 15:03:42.513038 INFO [Blockchain] Height 147000 of 1308374
2019-Nov-03 15:03:42.643559 INFO [Blockchain] Height 148000 of 1308374
2019-Nov-03 15:03:42.778475 INFO [Blockchain] Height 149000 of 1308374
2019-Nov-03 15:03:42.897437 INFO [Blockchain] Height 150000 of 1308374
2019-Nov-03 15:03:43.103684 INFO [Blockchain] Height 151000 of 1308374
2019-Nov-03 15:03:43.207137 INFO [Blockchain] Height 152000 of 1308374
2019-Nov-03 15:03:43.329668 INFO [Blockchain] Height 153000 of 1308374
2019-Nov-03 15:03:43.448704 INFO [Blockchain] Height 154000 of 1308374
2019-Nov-03 15:03:43.634237 INFO [Blockchain] Height 155000 of 1308374
2019-Nov-03 15:03:43.748662 INFO [Blockchain] Height 156000 of 1308374
2019-Nov-03 15:03:43.859044 INFO [Blockchain] Height 157000 of 1308374
2019-Nov-03 15:03:43.986931 INFO [Blockchain] Height 158000 of 1308374
2019-Nov-03 15:03:44.159984 INFO [Blockchain] Height 159000 of 1308374
2019-Nov-03 15:03:44.248630 INFO [Blockchain] Height 160000 of 1308374
2019-Nov-03 15:03:44.335368 INFO [Blockchain] Height 161000 of 1308374
2019-Nov-03 15:03:44.434602 INFO [Blockchain] Height 162000 of 1308374
2019-Nov-03 15:03:44.594360 INFO [Blockchain] Height 163000 of 1308374
2019-Nov-03 15:03:44.720269 INFO [Blockchain] Height 164000 of 1308374
2019-Nov-03 15:03:44.853616 INFO [Blockchain] Height 165000 of 1308374
